original_name,original_url,POWO_accepted,POWO_name,Names equal?,POWO_rank,POWO_url,POWO_url_full
Alnus glutinosa subsp. glutinosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:6376,TRUE,Alnus glutinosa subsp. glutinosa,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77167590-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77167590-1
Alopecurus pratensis subsp. pratensis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:476547,TRUE,Alopecurus pratensis subsp. pratensis,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77171940-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77171940-1
Alopecurus pratensis var. glaucus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:541785,TRUE,Alopecurus pratensis subsp. pratensis,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77171940-1,
Alyssum maritimum var. genuinum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3277518,TRUE,Lobularia maritima subsp. maritima,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:77223776-1,
Anacamptis morio subsp. morio,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:375304,TRUE,Anacamptis morio subsp. morio,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77168903-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168903-1
Anacamptis palustris subsp. palustris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:8588,TRUE,Anacamptis palustris subsp. palustris,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77167633-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77167633-1
Anagallis arvensis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636008,TRUE,Lysimachia arvensis,FALSE,Species,/taxon/urn:lsid:ipni.org:names:77100386-1,
Anagallis phoenicea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636113,TRUE,Lysimachia arvensis,FALSE,Species,/taxon/urn:lsid:ipni.org:names:77100386-1,
Andromeda polifolia fo. acerosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3004646,not found,not found,FALSE,not found,not found,
Andromeda polifolia subsp. polifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3261862,TRUE,Andromeda polifolia subsp. polifolia,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77228423-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77228423-1
Anemone coronaria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2638132,TRUE,Anemone coronaria,TRUE,Species,/taxon/urn:lsid:ipni.org:names:708314-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708314-1
Anemone coronaria var. cyanea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2870115,TRUE,Anemone coronaria,FALSE,Species,/taxon/urn:lsid:ipni.org:names:708314-1,
Anemone nemorosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2638483,TRUE,Anemonoides altaica,FALSE,Species,/taxon/urn:lsid:ipni.org:names:708736-1,
